horizon,model,MAE,RMSE,sMAPE,MASE,Skill_vs_Climo_%
1,climatology,0.595356467678525,0.7128156423077776,163.13827882161863,1.0116972108338589,0.0
1,"sarima(1,0,0)(1,0,0,12)",0.439933432526077,0.5607935871483319,112.55590331653383,0.7475847677857554,26.105878341842736
1,seasonal_naive,0.5884729752173791,0.7731520402941755,130.02987683175346,1.0,1.1561968055855298
3,climatology,0.5994326653144806,0.7203994701900405,163.13827882161863,1.034556021834994,0.0
3,"sarima(1,0,0)(1,0,0,12)",0.48059361493721336,0.6053645238795969,134.91927494130073,0.8294526594207136,19.825254320253073
3,seasonal_naive,0.5794105419745812,0.7626194354836705,128.65422961400301,1.0,3.3401788888824058
6,climatology,0.6096767424863244,0.734054207048678,163.17485505593316,1.042976163588333,0.0
6,"sarima(1,0,0)(1,0,0,12)",0.5091880305096083,0.6269974878116036,158.31229978163339,0.8710697679564555,16.482293808176586
6,seasonal_naive,0.5845548189603366,0.7661446242494033,127.1542090805291,1.0,4.120531713828878
